step,active_nodes,detection_accuracy,pdr,energy_mean
0,300,0.99,0.89,0.7396657205601234
1,300,0.9966666666666667,0.8966666666666666,0.7386657205601235
2,300,0.9866666666666667,0.8933333333333333,0.7376657205601234
3,300,0.98,0.8933333333333333,0.7366657205601235
4,300,0.9933333333333333,0.8933333333333333,0.7356657205601234
